100 
 80 
 77   1  76;
 82   1  81;
 14   1  13;
 29   1  28;
 97   1  96;
 44   1  43;
 48   1  47;
 21   1  20;
 93   1  92;
 28   1  27;
 57   1  56;
 58   1  57;
 61   1  60;
 88   1  87;
 38   1  37;
  2   1   1;
 72   1  71;
 27   1  26;
 18   1  17;
 66   1  65;
 59   1  58;
 74   1  73;
 46   1  45;
 98   1  97;
 24   1  23;
 78   1  77;
  6   1   5;
 53   1  52;
  1   1   0;
 17   1  16;
 52   1  51;
 42   1  41;
 84   1  83;
 67   1  66;
  9   1   8;
 32   1  31;
 23   1  22;
 76   1  75;
 51   1  50;
 43   1  42;
 79   1  78;
 37   1  36;
 81   1  80;
 86   1  85;
 63   1  62;
 31   1  30;
 47   1  46;
 91   1  90;
 94   1  93;
 99   1  98;
 89   1  88;
 49   1  48;
  7   1   6;
 62   1  61;
 36   1  35;
 13   1  12;
 19   1  18;
 71   1  70;
  8   1   7;
 39   1  38;
 22   1  21;
 92   1  91;
 96   1  95;
 11   1  10;
 68   1  67;
  4   1   3;
 64   1  63;
 83   1  82;
 56   1  55;
 69   1  68;
 73   1  72;
 33   1  32;
 12   1  11;
 41   1  40;
 87   1  86;
  3   1   2;
 54   1  53;
 16   1  15;
 26   1  25;
 34   1  33;
