100 
 80 
  8   1   7;
 89   1  88;
 57   1  56;
 84   1  83;
 16   1  15;
 17   1  16;
 46   1  45;
 71   1  70;
 64   1  63;
 28   1  27;
 48   1  47;
 83   1  82;
 86   1  85;
 37   1  36;
 41   1  40;
 88   1  87;
 26   1  25;
  2   1   1;
 99   1  98;
 76   1  75;
 61   1  60;
 91   1  90;
 97   1  96;
 87   1  86;
 58   1  57;
 38   1  37;
 93   1  92;
 18   1  17;
 42   1  41;
 56   1  55;
  6   1   5;
 74   1  73;
 43   1  42;
 34   1  33;
 62   1  61;
 12   1  11;
 31   1  30;
  3   1   2;
 77   1  76;
 94   1  93;
 39   1  38;
 22   1  21;
 49   1  48;
 36   1  35;
 68   1  67;
 44   1  43;
 72   1  71;
 27   1  26;
 32   1  31;
 13   1  12;
 66   1  65;
 19   1  18;
 79   1  78;
 53   1  52;
 29   1  28;
 67   1  66;
 82   1  81;
 59   1  58;
 11   1  10;
 96   1  95;
  1   1   0;
 51   1  50;
 98   1  97;
 73   1  72;
 69   1  68;
  9   1   8;
 47   1  46;
 24   1  23;
 33   1  32;
 21   1  20;
 54   1  53;
 92   1  91;
 63   1  62;
 14   1  13;
 23   1  22;
  7   1   6;
 52   1  51;
  4   1   3;
 81   1  80;
 78   1  77;
