100 
 80 
 47   1  46;
 54   1  53;
 87   1  86;
 64   1  63;
 94   1  93;
 98   1  97;
 26   1  25;
 97   1  96;
 18   1  17;
 44   1  43;
 71   1  70;
  7   1   6;
 67   1  66;
 37   1  36;
 82   1  81;
 38   1  37;
 16   1  15;
 96   1  95;
 28   1  27;
 84   1  83;
 76   1  75;
 58   1  57;
 21   1  20;
 17   1  16;
 74   1  73;
 52   1  51;
 36   1  35;
 61   1  60;
 42   1  41;
 31   1  30;
 51   1  50;
 89   1  88;
 59   1  58;
 14   1  13;
 86   1  85;
 48   1  47;
 79   1  78;
  9   1   8;
 27   1  26;
  3   1   2;
 66   1  65;
 33   1  32;
 69   1  68;
 24   1  23;
 29   1  28;
 46   1  45;
 77   1  76;
 62   1  61;
 68   1  67;
 91   1  90;
 34   1  33;
 49   1  48;
 23   1  22;
  2   1   1;
 63   1  62;
 57   1  56;
 12   1  11;
 99   1  98;
 92   1  91;
 56   1  55;
  6   1   5;
 39   1  38;
 73   1  72;
 43   1  42;
 53   1  52;
 88   1  87;
 72   1  71;
 93   1  92;
 78   1  77;
 81   1  80;
  1   1   0;
  4   1   3;
 13   1  12;
 83   1  82;
 32   1  31;
  8   1   7;
 11   1  10;
 19   1  18;
 41   1  40;
 22   1  21;
