100 
 80 
 24   1  23;
 36   1  35;
  9   1   8;
 89   1  88;
 23   1  22;
 94   1  93;
 48   1  47;
 87   1  86;
 74   1  73;
 29   1  28;
 63   1  62;
 93   1  92;
 54   1  53;
 41   1  40;
 76   1  75;
 31   1  30;
 58   1  57;
 43   1  42;
 19   1  18;
  1   1   0;
 21   1  20;
 56   1  55;
 46   1  45;
 92   1  91;
 88   1  87;
 84   1  83;
 26   1  25;
 44   1  43;
 66   1  65;
 49   1  48;
 96   1  95;
 37   1  36;
 47   1  46;
 73   1  72;
 57   1  56;
 33   1  32;
 14   1  13;
 13   1  12;
 81   1  80;
  3   1   2;
 82   1  81;
 71   1  70;
 72   1  71;
 11   1  10;
 97   1  96;
 86   1  85;
 32   1  31;
  8   1   7;
 64   1  63;
 34   1  33;
 68   1  67;
  4   1   3;
 12   1  11;
 52   1  51;
 99   1  98;
 59   1  58;
 77   1  76;
 42   1  41;
  6   1   5;
 51   1  50;
  7   1   6;
 98   1  97;
 38   1  37;
 79   1  78;
 91   1  90;
 83   1  82;
 39   1  38;
 69   1  68;
 62   1  61;
  2   1   1;
 22   1  21;
 67   1  66;
 61   1  60;
 28   1  27;
 18   1  17;
 78   1  77;
 17   1  16;
 53   1  52;
 16   1  15;
 27   1  26;
