100 
 80 
 24   1  23;
 52   1  51;
 81   1  80;
 36   1  35;
 73   1  72;
 41   1  40;
 86   1  85;
 26   1  25;
 98   1  97;
 39   1  38;
 72   1  71;
 91   1  90;
  4   1   3;
 92   1  91;
 28   1  27;
 16   1  15;
 19   1  18;
 51   1  50;
 33   1  32;
 88   1  87;
 53   1  52;
 79   1  78;
 76   1  75;
 74   1  73;
 77   1  76;
 42   1  41;
 22   1  21;
 78   1  77;
 46   1  45;
 63   1  62;
 69   1  68;
 64   1  63;
  2   1   1;
 29   1  28;
 31   1  30;
 93   1  92;
 62   1  61;
 43   1  42;
 37   1  36;
 13   1  12;
 97   1  96;
 94   1  93;
 44   1  43;
 84   1  83;
  7   1   6;
  3   1   2;
 23   1  22;
 27   1  26;
 87   1  86;
 11   1  10;
  1   1   0;
 57   1  56;
 83   1  82;
 48   1  47;
 49   1  48;
 67   1  66;
  9   1   8;
 38   1  37;
 61   1  60;
 96   1  95;
 14   1  13;
 32   1  31;
 17   1  16;
 89   1  88;
 82   1  81;
 54   1  53;
 12   1  11;
 47   1  46;
 21   1  20;
 58   1  57;
 66   1  65;
 71   1  70;
 56   1  55;
  6   1   5;
 34   1  33;
 68   1  67;
 99   1  98;
  8   1   7;
 18   1  17;
 59   1  58;
